,병원명,병원코드,응급실수,수술실수,응급실연락처,병원주소,위도,경도,뇌출혈,신생아,중증화상,뇌경색,심근경색,복부손상,사지접합,응급내시경,응급투석,조산산모
0,(의)서일의료재단기장병원,A1200028,7,3,051-723-2119,부산광역시 기장군 기장읍 대청로72번길 6,35.23602946449906,129.21649161387128,N,N,N,N,N,N,N,N,N,N
1,동남권원자력의학원,A1200015,8,5,051-720-5911,부산광역시 기장군 장안읍 좌동길 40,35.321418988977406,129.24364922146094,N,N,N,N,N,N,N,Y,N,N
2,부산성모병원(재단법인천주교부산교구유지재단),A1200013,4,6,051-933-7119,부산광역시 남구 용호로232번길 25-14 (용호동),35.110457328247016,129.10919202844133,Y,Y,N,Y,Y,Y,N,Y,Y,Y
3,좋은문화병원,A1200026,7,1,051-630-0909,부산광역시 동구 범일로 119 (범일동),35.1407239889452,129.05906375734872,N,Y,N,N,N,N,N,N,N,Y
4,의료법인정화의료재단김원묵기념봉생병원,A1200017,6,6,051-664-4119,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",35.13085783627095,129.0505708823645,Y,N,N,Y,Y,N,N,Y,Y,N
5,동래봉생병원,A1200011,6,2,051-520-5600,부산광역시 동래구 안연로109번길 27 (안락동),35.19694647632553,129.0961666077834,Y,N,N,Y,Y,N,N,N,N,N
6,대동병원,A1200018,13,5,051-550-9391,부산광역시 동래구 충렬대로 187 (명륜동),35.204273174435535,129.08021549527504,Y,N,N,N,Y,Y,N,N,N,N
7,의료법인광혜의료재단광혜병원,A1200009,9,3,051-590-3399,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",35.207033333333335,129.07113611111112,N,N,N,N,N,Y,N,N,N,N
8,의료법인온그룹의료재단온종합병원,A1200020,18,7,051-607-0139,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",35.15787735996765,129.04998435792845,Y,N,N,Y,Y,Y,N,Y,Y,N
9,인제대학교부산백병원,A1200001,-3,5,051-890-5995,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",35.146454469689104,129.02057150748323,Y,Y,N,Y,Y,Y,Y,Y,Y,Y
10,학교법인)동의병원,A1200019,7,1,051-850-8777,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",35.169922174960384,129.0767443760438,Y,N,N,Y,Y,N,N,Y,Y,N
11,학교법인 춘해병원,A1200025,8,4,051-632-3119,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),35.147036979509224,129.05854773411613,Y,N,N,N,N,N,N,Y,N,N
12,구포성심병원,A1200045,8,1,051-330-2090,부산광역시 북구 낙동대로 1786 (구포동),35.20971002878793,129.0047510374652,Y,N,N,N,Y,Y,N,Y,Y,N
