병원명,병원코드,응급실수,수술실수,응급실연락처,병원주소,거리,위도,경도,뇌출혈,신생아,중증화상,뇌경색,심근경색,복부손상,사지접합,응급내시경,응급투석,조산산모,전체병상수,응급실포화도,응급실포화상태
(의)서일의료재단기장병원,A1200028,3,3,051-723-2119,부산광역시 기장군 기장읍 대청로72번길 6,20.77,35.23602946449906,129.21649161387128,N,N,N,N,N,N,N,Y,N,N,10,70.0,혼잡
동남권원자력의학원,A1200015,6,6,051-720-5911,부산광역시 기장군 장안읍 좌동길 40,29.345,35.321418988977406,129.24364922146094,N,N,N,N,N,N,N,Y,N,N,10,40.0,보통
부산성모병원(재단법인천주교부산교구유지재단),A1200013,5,7,051-933-7119,부산광역시 남구 용호로232번길 25-14 (용호동),6.086,35.110457328247016,129.10919202844133,Y,Y,N,Y,Y,Y,N,Y,Y,Y,19,73.6842105263158,혼잡
좋은문화병원,A1200026,5,0,051-630-0909,부산광역시 동구 범일로 119 (범일동),3.24,35.1407239889452,129.05906375734872,N,Y,N,N,N,N,N,N,N,Y,11,54.54545454545454,보통
의료법인정화의료재단김원묵기념봉생병원,A1200017,8,8,051-664-4119,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",1.918,35.13085783627095,129.0505708823645,Y,N,N,Y,Y,N,N,Y,Y,N,11,27.27272727272727,원활
동래봉생병원,A1200011,5,5,051-520-5600,부산광역시 동래구 안연로109번길 27 (안락동),10.343,35.19694647632553,129.0961666077834,Y,N,N,Y,Y,N,N,N,N,N,10,50.0,보통
대동병원,A1200018,9,6,051-550-9391,부산광역시 동래구 충렬대로 187 (명륜동),10.51,35.204273174435535,129.08021549527504,Y,N,N,N,Y,Y,N,N,N,N,21,57.14285714285714,보통
의료법인광혜의료재단광혜병원,A1200009,5,3,051-590-3399,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",10.568,35.207033333333335,129.07113611111112,N,N,N,N,N,Y,N,N,N,N,10,50.0,보통
의료법인온그룹의료재단온종합병원,A1200020,14,9,051-607-0139,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",4.825,35.15787735996765,129.04998435792845,Y,N,N,Y,Y,Y,N,Y,Y,N,30,53.333333333333336,보통
인제대학교부산백병원,A1200001,22,17,051-890-5995,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",4.034,35.146454469689104,129.02057150748323,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,35,37.142857142857146,보통
학교법인)동의병원,A1200019,6,1,051-850-8777,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",6.863,35.169922174960384,129.0767443760438,Y,N,N,Y,Y,N,N,Y,Y,N,17,64.70588235294117,혼잡
학교법인 춘해병원,A1200025,3,4,051-632-3119,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),3.858,35.147036979509224,129.05854773411613,Y,N,N,N,N,N,N,Y,N,N,10,70.0,혼잡
구포성심병원,A1200045,2,4,051-330-2090,부산광역시 북구 낙동대로 1786 (구포동),11.085,35.20971002878793,129.0047510374652,Y,N,N,N,Y,Y,N,Y,Y,N,10,80.0,혼잡
의료법인인당의료재단부민병원,A1200006,9,9,051-330-3129,부산광역시 북구 만덕대로 59 (덕천동),11.154,35.21191431805676,129.0112123286087,Y,N,N,Y,N,Y,Y,Y,Y,N,12,25.0,원활
의료법인은성의료재단좋은삼선병원,A1200005,5,6,051-310-9416,부산광역시 사상구 가야대로 326 (주례동),5.045,35.1505677387241,129.0081978825217,Y,N,N,Y,Y,Y,Y,Y,Y,N,20,75.0,혼잡
한국보훈복지의료공단부산보훈병원,A1200016,9,7,051-601-6180,부산광역시 사상구 백양대로 420 (주례동),5.379,35.15333436517864,129.00656514354415,N,N,N,N,N,N,N,N,N,N,15,40.0,보통
고신대학교복음병원,A1200004,9,13,051-990-3008,부산광역시 서구 감천로 262 (암남동),4.557,35.08029169184386,129.01572016067405,N,N,N,N,N,N,N,N,N,N,21,57.14285714285714,보통
부산대학교병원,A1200002,7,26,051-240-7776,부산광역시 서구 구덕로 179 (아미동1가),2.62,35.10105418267188,129.01922207984205,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,32,78.125,혼잡
동아대학교병원,A1200003,17,17,051-240-5300,부산광역시 서구 대신공원로 26 (동대신동3가),2.335,35.12000583968841,129.01760368790895,Y,Y,N,Y,N,Y,N,Y,N,Y,31,45.16129032258065,보통
삼육부산병원,A1200021,0,3,051-600-7750,부산광역시 서구 대티로 170 (서대신동2가),2.91,35.11177720675051,129.01074979097717,N,N,N,Y,N,N,Y,N,N,N,10,100.0,매우혼잡
의료법인은성의료재단좋은강안병원,A1200008,8,8,051-610-9119,부산광역시 수영구 수영로 493 (남천동),7.337,35.15015905669445,129.11072434834875,Y,N,N,Y,Y,Y,N,Y,Y,N,16,50.0,보통
비에이치에스한서병원,A1200007,12,4,070-7321-0119,부산광역시 수영구 수영로 615 (광안동),8.201,35.1610460623,129.1128811328,Y,N,N,N,Y,N,N,N,N,N,20,40.0,보통
부산광역시의료원,A1200024,14,7,051-607-2140,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",8.191,35.187312651309654,129.05917919433944,Y,N,N,Y,Y,N,N,Y,N,N,20,30.000000000000004,보통
의료법인행도의료재단해동병원,A1200012,4,3,051-410-6688,부산광역시 영도구 태종로 133 (봉래동3가),2.558,35.09194298219175,129.04386428258525,Y,N,N,N,N,Y,N,Y,Y,N,10,60.0,혼잡
영도병원,A1200014,1,3,051-419-7575,부산광역시 영도구 태종로 85 (대교동2가),2.525,35.09227119620571,129.04053714557975,Y,N,Y,N,N,Y,N,Y,Y,N,10,90.0,매우혼잡
재단법인천주교부산교구유지재단메리놀병원,A1200023,8,7,051-461-2300,부산광역시 중구 중구로 121 (대청동4가),1.225,35.107580971280804,129.03246380102908,N,N,N,N,N,N,N,N,N,N,10,19.999999999999996,원활
